Land,Bevölkerung,Dichte,BIP
Ägypten,93400000,93,NA
Argentinien,44300000,16,NA
Australien,24500000,3,NA
Bahrain,1500000,1974,NA
Belgien,11300000,367,NA
Brasilien,207900000,24,NA
Bulgarien,7100000,64,NA
Chile,18400000,24,NA
Dänemark,5748769,1280,NA
Deutschland,83100000,231,NA
Estland,1300000,29,NA
Finnland,5500000,16,NA
Griechenland,10700000,81,NA
Indien,1352600000,411,NA
Indonesien,264000000,139,NA
Island,350000,3,NA
Israel,8600000,384,NA
Italien,60500000,201,NA
Japan,126700000,335,NA
Kanada,36700000,4,NA
Katar,2700000,233,NA
Kroatien,4100000,72,NA
Kuwait,4100000,230,NA
Lettland,1900000,29,NA
Litauen,2800000,43,NA
Malaysia,31600000,96,NA
Malta,438000,1386,NA
Mexiko,129200000,66,NA
Neuseeland und Ozeanien,4800000,18,NA
Niederlande,17100000,412,NA
Norwegen,5300000,16,NA
Oman,4700000,15,NA
Österreich,8800000,105,NA
Philippinen,105000000,351,NA
Polen,38400000,123,NA
Portugal,10300000,112,NA
Rumänien,19600000,82,NA
Russland,144500000,8,NA
Saudi Arabien,32600000,15,NA
Schweden,10100000,22,NA
Serbien,7000000,90,NA
Singapur,5700000,8178,NA
Slowakei,5400000,110,NA
Slowenien,2100000,104,NA
Spanien,46600000,92,NA
"Südafrika, Republik",56500000,46,NA
Thailand,66100000,129,NA
Tschechische Republik,10600000,134,NA
Türkei,80900000,103,NA
Ukraine,42300000,70,NA
Ungarn,9800000,105,NA
Vereinigte Arabische Emirate,9400000,112,NA
Vereinigte Staaten,325400000,33,NA
Vereinigtes Königreich,66200000,272,NA
Weissrussland,9500000,46,NA
