gemeinde,staat,bevoelkerung,bevoelkerung_dichte,haushalt_groesse,median_einkommen,prozent_pension,prozent_armut,prozent_arbeitslos,prozent_metro,verbrechen,haeufigkeit
BerkeleyHeightstownship,NJ,11980,1845.9,3.1,75122,18.39,1.96,2.7,9.63,mord,0
Marpletownship,PA,23123,2186.7,2.82,47917,22.85,3.98,2.43,3.84,mord,0
Norwoodtown,MA,28700,2643.5,2.6,42805,17.23,4.01,4.85,9.62,mord,0
Wacocity,TX,103590,1319.3,2.62,17852,13.99,28.68,8.39,0.76,mord,29
Shermancity,TX,31601,816.1,2.54,24763,15.2,15.61,7.19,0,mord,1
SanPablocity,CA,25158,9387.3,2.89,25479,13.18,19.02,10.16,11.22,mord,12
Glendalecity,CA,180038,5677.3,2.62,34372,11.51,14.37,6.95,4.15,mord,9
Worthingtoncity,OH,14869,2552.7,2.67,49851,19.47,2.35,2.57,1.96,mord,0
Arlingtoncity,TX,261721,2716.3,2.6,35048,9.12,8.21,4.99,0.14,mord,7
Marinacity,CA,26436,2917.9,3.34,29043,15.99,9.67,3.5,1.93,mord,2
Bellairecity,TX,13842,3697.1,2.35,45892,15.55,3.33,2.69,1.11,mord,1
ElCajoncity,CA,88693,5943,2.7,28108,16.03,12.92,7.07,2.17,mord,8
Laredocity,TX,122899,3608.7,3.84,18395,7.95,37.29,11.24,3.55,mord,21
Oakdalecity,CA,11961,2853.3,2.71,27230,18.4,12.63,10.34,0,mord,0
Norcocity,CA,23302,1641.4,4.17,51594,12.75,5.34,5.1,0.27,mord,1
SanCarloscity,CA,26167,4486.8,2.37,54658,18.84,2.73,2.43,3.98,mord,1
Barbertoncity,OH,27623,3513.5,2.49,21688,24.38,16.93,8.67,1.91,mord,0
Pontiaccity,MI,71166,3434.7,2.87,21962,16.66,26.67,14.4,0.9,mord,19
Bricktownship,NJ,66473,2441,2.66,38742,22.5,3.74,5.55,1.75,mord,2
LagunaBeachcity,CA,23170,2575.6,2.09,53419,13.14,6.14,1.84,1.97,mord,0
Robstowncity,TX,12849,1345.2,3.59,16180,9.2,37.04,12.26,1.23,mord,1
Wyomingcity,MI,63891,2539,2.64,31103,13.42,7.07,5.13,0.59,mord,1
BeverlyHillscity,CA,31971,5437.2,2.2,54348,9.02,6.6,3.8,4.31,mord,1
UniversityHeightscity,OH,14790,7812.2,2.87,43376,12.64,2.9,4.65,5.81,mord,0
Marioncity,OH,34075,4102.3,2.59,22439,16.99,16.85,10.98,1.01,mord,1
Toledocity,OH,332943,3988.5,2.54,24819,18.44,19.09,9.92,3,mord,45
Philadelphiacity,PA,1585577,11326,2.63,24603,18.2,20.27,9.62,29.31,mord,439
Newtoncity,MA,82585,4413,2.8,59719,14.43,4.33,3.94,12.27,mord,1
Beavercreekcity,OH,33626,1260.7,2.88,49143,21.15,3.51,3.13,0.34,mord,0
Springfieldtownship,OH,13352,369.6,2.82,32713,24.43,8.79,5.41,0.2,mord,0
Swissvaleborough,PA,10637,8564.4,2.16,23773,19.7,12.53,6.62,16.83,mord,2
ScotchPlainstownship,NJ,21160,2250.1,2.79,58194,16.17,1.49,3.75,7.6,mord,1
WhiteLaketownship,MI,22608,648.8,2.91,42549,13.94,4.36,6.2,0.18,mord,0
Gallowaytownship,NJ,23330,249.1,2.94,41944,12.87,4.35,4.1,1.66,mord,1
Sweetwatercity,TX,11967,1329.7,2.62,19157,11.19,23.02,8.51,0.58,mord,1
Hulltown,MA,10466,3397.6,2.76,37683,13.67,8.02,7.31,8.66,mord,0
Scotttownship,PA,17118,4180.8,2.29,34644,20.56,4.13,3.05,11.76,mord,1
Pittsfieldtownship,MI,17668,606.6,2.52,34639,7.36,9.33,3.78,2.48,mord,0
