Land,Region,Jahr,Besucher,Dauer,Nächte,Bevölkerung,Dichte,lo20,hi65,Erwerbsquote,BIP,Motorisierung,Äquivalenzeinkommen
Belgien,Europa,2018,920,1.7271739130434782,1589,11311.117,371.8,22.59882,18.23783,67.6,34300,497,20820
Bulgarien,Europa,2018,138,2.101449275362319,290,7153.784,66.2,18.32956,20.43375,68.7,14200,442,6744
Dänemark,Europa,2018,301,1.8272425249169435,550,5707.251,132.4,22.97495,18.82556,80,36100,419,21120
Deutschland,Europa,2018,10564,1.709485043544112,18059,82175.684,228.6,18.34008,21.05267,77.9,36000,540,21210
Estland,Europa,2018,24,2.125,51,1315.944,30.3,20.62269,19.02247,77.5,21900,514,11860
Finnland,Europa,2018,130,2.0076923076923077,261,5487.308,18,21.81751,20.46729,75.9,31900,592,19766
Frankreich,Europa,2018,3401,1.5548368127021464,5288,66759.95,105.3,24.57158,18.81332,71.4,30400,484,20750
Griechenland,Europa,2018,195,2.651282051282051,517,10783.748,81.9,19.395,21.26212,68.2,19700,375,8828
Irland,Europa,2018,374,2.3315508021390374,872,4724.72,67.9,28.03569,13.21608,70.5,53300,436,20750
Island,Europa,2018,32,1.78125,57,332.529,3.3,26.66264,13.85533,89.3,37200,474,28616
Italien,Europa,2018,1776,1.8153153153153154,3224,60665.551,201,18.40156,22.03846,64.9,28200,615,16232
Kroatien,Europa,2018,55,1.7636363636363637,97,4190.669,74.4,20.21431,19.2066,65.6,17400,358,8829
Lettland,Europa,2018,13,2.1538461538461537,28,1968.957,31.8,19.63176,19.634,76.3,18800,345,9198
Liechtenstein,Europa,2018,89,1.6179775280898876,144,37.622,234.3,20.5518,16.47706,65.6,31300,436,15175
Litauen,Europa,2018,31,1.7096774193548387,53,2888.558,46.4,20.2831,18.98965,75.5,22000,431,9279
Luxemburg,Europa,2018,181,1.4972375690607735,271,576.249,220.3,22.22598,14.2225,70,75100,647,28071
Malta,Europa,2018,11,1.7272727272727273,19,434.403,1369.5,19.7181,19.04706,69.1,27900,634,16925
