preis,schlafzimmer,badezimmer,qf_wohnraum,qf_parzelle,stoecke,ufer,qf_dachstock,qf_keller,baujahr,postleitzahl
221900,3,1,1180,5650,1,0,1180,0,1955,98178
538000,3,2.25,2570,7242,2,0,2170,400,1951,98125
180000,2,1,770,10000,1,0,770,0,1933,98028
604000,4,3,1960,5000,1,0,1050,910,1965,98136
510000,3,2,1680,8080,1,0,1680,0,1987,98074
1225000,4,4.5,5420,101930,1,0,3890,1530,2001,98053
257500,3,2.25,1715,6819,2,0,1715,0,1995,98003
291850,3,1.5,1060,9711,1,0,1060,0,1963,98198
229500,3,1,1780,7470,1,0,1050,730,1960,98146
323000,3,2.5,1890,6560,2,0,1890,0,2003,98038
662500,3,2.5,3560,9796,1,0,1860,1700,1965,98007
468000,2,1,1160,6000,1,0,860,300,1942,98115
310000,3,1,1430,19901,1.5,0,1430,0,1927,98028
400000,3,1.75,1370,9680,1,0,1370,0,1977,98074
530000,5,2,1810,4850,1.5,0,1810,0,1900,98107
650000,4,3,2950,5000,2,0,1980,970,1979,98126
395000,3,2,1890,14040,2,0,1890,0,1994,98019
485000,4,1,1600,4300,1.5,0,1600,0,1916,98103
189000,2,1,1200,9850,1,0,1200,0,1921,98002
230000,3,1,1250,9774,1,0,1250,0,1969,98003
385000,4,1.75,1620,4980,1,0,860,760,1947,98133
2000000,3,2.75,3050,44867,1,0,2330,720,1968,98040
285000,5,2.5,2270,6300,2,0,2270,0,1995,98092
252700,2,1.5,1070,9643,1,0,1070,0,1985,98030
329000,3,2.25,2450,6500,2,0,2450,0,1985,98030
233000,3,2,1710,4697,1.5,0,1710,0,1941,98002
937000,3,1.75,2450,2691,2,0,1750,700,1915,98119
667000,3,1,1400,1581,1.5,0,1400,0,1909,98112
438000,3,1.75,1520,6380,1,0,790,730,1948,98115
719000,4,2.5,2570,7173,2,0,2570,0,2005,98052
580500,3,2.5,2320,3980,2,0,2320,0,2003,98027
280000,2,1.5,1190,1265,3,0,1190,0,2005,98133
687500,4,1.75,2330,5000,1.5,0,1510,820,1929,98117
535000,3,1,1090,3000,1.5,0,1090,0,1929,98117
322500,4,2.75,2060,6659,1,0,1280,780,1981,98058
696000,3,2.5,2300,3060,1.5,0,1510,790,1930,98115
550000,4,1,1660,34848,1,0,930,730,1933,98052
640000,4,2,2360,6000,2,0,2360,0,1904,98107
240000,4,1,1220,8075,1,0,890,330,1969,98001
605000,4,2.5,2620,7553,2,0,2620,0,1996,98056
625000,4,2.5,2570,5520,2,0,2570,0,2000,98074
775000,4,2.25,4220,24186,1,0,2600,1620,1984,98166
861990,5,2.75,3595,5639,2,0,3595,0,2014,98053
685000,3,1,1570,2280,2,0,1570,0,1922,98119
309000,3,1,1280,9656,1,0,920,360,1959,98058
488000,3,2.5,3160,13603,2,0,3160,0,2003,98019
210490,3,1,990,8528,1,0,990,0,1966,98023
785000,4,2.5,2290,13416,2,0,2290,0,1981,98007
450000,3,1.75,1250,5963,1,0,1250,0,1953,98115
1350000,3,2.5,2753,65005,1,1,2165,588,1953,98070
228000,3,1,1190,9199,1,0,1190,0,1955,98148
345000,5,2.5,3150,9134,1,0,1640,1510,1966,98056
600000,3,1.75,1410,4080,1,0,1000,410,1950,98117
585000,2,1.75,1980,8550,1,0,990,990,1981,98117
920000,5,2.25,2730,6000,1.5,0,2130,600,1927,98105
885000,4,2.5,2830,5000,2,0,2830,0,1995,98105
292500,4,2.5,2250,4495,2,0,2250,0,2008,98042
301000,3,2.5,2420,4750,2,0,2420,0,2003,98042
951000,5,3.25,3250,14342,2,0,3250,0,1968,98008
430000,4,3,1850,9976,2,0,1850,0,1991,98059
650000,3,2.25,2150,21235,1,0,1590,560,1959,98166
289000,3,1.75,1260,8400,1,0,1260,0,1954,98148
