title,award_class,award_category,name
'Round Midnight,Music,MUSIC (Original Score),Herbie Hancock
12 Years a Slave,Acting,ACTRESS IN A SUPPORTING ROLE,Lupita Nyong'o
12 Years a Slave,Title,BEST PICTURE,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers"
12 Years a Slave,Writing,WRITING (Adapted Screenplay),Screenplay by John Ridley
1917,Production,CINEMATOGRAPHY,Roger Deakins
1917,Production,SOUND MIXING,Mark Taylor and Stuart Wilson
1917,Production,VISUAL EFFECTS,"Guillaume Rocheron, Greg Butler and Dominic Tuohy"
20 Days in Mariupol,Title,DOCUMENTARY (Feature),"Mstyslav Chernov, Michelle Mizner and Raney Aronson-Rath"
20 Feet from Stardom,Title,DOCUMENTARY (Feature),"Morgan Neville, Gil Friesen and Caitrin Rogers"
"20,000 Leagues under the Sea",Production,ART DIRECTION (Color),Art Direction: John Meehan; Set Decoration: Emile Kuri
"20,000 Leagues under the Sea",Production,VISUAL EFFECTS,Walt Disney Studios
2001: A Space Odyssey,Production,VISUAL EFFECTS,Stanley Kubrick
7 Faces of Dr. Lao.,Special,HONORARY AWARD,NA
7th Heaven,Acting,ACTRESS,Janet Gaynor
7th Heaven,Directing,DIRECTING (Dramatic Picture),Frank Borzage
7th Heaven,Writing,WRITING (Adapted Screenplay),Benjamin Glazer
8 Mile,Music,MUSIC (Original Song),"Music by Eminem, Jeff Bass and Luis Resto; Lyric by Eminem"
A Beautiful Mind,Acting,ACTRESS IN A SUPPORTING ROLE,Jennifer Connelly
A Beautiful Mind,Directing,DIRECTING,Ron Howard
A Beautiful Mind,Title,BEST PICTURE,"Brian Grazer and Ron Howard, Producers"
A Beautiful Mind,Writing,WRITING (Adapted Screenplay),Written by Akiva Goldsman
A Boy and His Dog,Title,SHORT SUBJECT (Two-reel),"Gordon Hollingshead, Producer"
A Chance to Live,Title,DOCUMENTARY (Short Subject),"Richard de Rochemont, Producer"
A Christmas Carol,Title,SHORT FILM (Animated),"Richard Williams, Producer"
A Close Shave,Title,SHORT FILM (Animated),Nick Park
A Damsel in Distress,Music,DANCE DIRECTION,Hermes Pan
A Double Life,Acting,ACTOR,Ronald Colman
A Double Life,Music,MUSIC (Original Score),Dr. Miklos Rozsa
A Fantastic Woman,Title,INTERNATIONAL FEATURE FILM,Chile
A Farewell to Arms,Production,CINEMATOGRAPHY,"Charles Bryant Lang, Jr."
A Farewell to Arms,Production,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
A Fish Called Wanda,Acting,ACTOR IN A SUPPORTING ROLE,Kevin Kline
A Force in Readiness,Special,HONORARY AWARD,NA
A Free Soul,Acting,ACTOR,Lionel Barrymore
A Funny Thing Happened on the Way to the Forum,Music,MUSIC (Original Song Score or Adaptation Score),Ken Thorne
A Girl in the River: The Price of Forgiveness,Title,DOCUMENTARY (Short Subject),Sharmeen Obaid-Chinoy
A Greek Tragedy,Title,SHORT FILM (Animated),"Linda Van Tulden and Willem Thijssen, Producers"
A Hole in the Head,Music,MUSIC (Original Song),Music by James Van Heusen; Lyrics by Sammy Cahn
A Letter to Three Wives,Directing,DIRECTING,Joseph L. Mankiewicz
A Letter to Three Wives,Writing,WRITING (Screenplay),Joseph L. Mankiewicz
A Little Night Music,Music,MUSIC (Original Song Score or Adaptation Score),Adaptation Score by Jonathan Tunick
