gemeinde,staat,bevoelkerung,bevoelkerung_dichte,haushalt_groesse,median_einkommen,prozent_pension,prozent_armut,prozent_arbeitslos,prozent_metro,verbrechen,haeufigkeit
BerkeleyHeightstownship,NJ,11980,1845.9,3.1,75122,18.39,1.96,2.7,9.63,murders,0
Marpletownship,PA,23123,2186.7,2.82,47917,22.85,3.98,2.43,3.84,murders,0
Norwoodtown,MA,28700,2643.5,2.6,42805,17.23,4.01,4.85,9.62,murders,0
Wacocity,TX,103590,1319.3,2.62,17852,13.99,28.68,8.39,0.76,murders,29
Shermancity,TX,31601,816.1,2.54,24763,15.2,15.61,7.19,0,murders,1
SanPablocity,CA,25158,9387.3,2.89,25479,13.18,19.02,10.16,11.22,murders,12
Glendalecity,CA,180038,5677.3,2.62,34372,11.51,14.37,6.95,4.15,murders,9
Worthingtoncity,OH,14869,2552.7,2.67,49851,19.47,2.35,2.57,1.96,murders,0
Arlingtoncity,TX,261721,2716.3,2.6,35048,9.12,8.21,4.99,0.14,murders,7
Marinacity,CA,26436,2917.9,3.34,29043,15.99,9.67,3.5,1.93,murders,2
Bellairecity,TX,13842,3697.1,2.35,45892,15.55,3.33,2.69,1.11,murders,1
ElCajoncity,CA,88693,5943,2.7,28108,16.03,12.92,7.07,2.17,murders,8
Laredocity,TX,122899,3608.7,3.84,18395,7.95,37.29,11.24,3.55,murders,21
Oakdalecity,CA,11961,2853.3,2.71,27230,18.4,12.63,10.34,0,murders,0
Norcocity,CA,23302,1641.4,4.17,51594,12.75,5.34,5.1,0.27,murders,1
SanCarloscity,CA,26167,4486.8,2.37,54658,18.84,2.73,2.43,3.98,murders,1
Barbertoncity,OH,27623,3513.5,2.49,21688,24.38,16.93,8.67,1.91,murders,0
Pontiaccity,MI,71166,3434.7,2.87,21962,16.66,26.67,14.4,0.9,murders,19
Bricktownship,NJ,66473,2441,2.66,38742,22.5,3.74,5.55,1.75,murders,2
LagunaBeachcity,CA,23170,2575.6,2.09,53419,13.14,6.14,1.84,1.97,murders,0
Robstowncity,TX,12849,1345.2,3.59,16180,9.2,37.04,12.26,1.23,murders,1
Wyomingcity,MI,63891,2539,2.64,31103,13.42,7.07,5.13,0.59,murders,1
BeverlyHillscity,CA,31971,5437.2,2.2,54348,9.02,6.6,3.8,4.31,murders,1
UniversityHeightscity,OH,14790,7812.2,2.87,43376,12.64,2.9,4.65,5.81,murders,0
Marioncity,OH,34075,4102.3,2.59,22439,16.99,16.85,10.98,1.01,murders,1
Toledocity,OH,332943,3988.5,2.54,24819,18.44,19.09,9.92,3,murders,45
Philadelphiacity,PA,1585577,11326,2.63,24603,18.2,20.27,9.62,29.31,murders,439
Newtoncity,MA,82585,4413,2.8,59719,14.43,4.33,3.94,12.27,murders,1
Beavercreekcity,OH,33626,1260.7,2.88,49143,21.15,3.51,3.13,0.34,murders,0
Springfieldtownship,OH,13352,369.6,2.82,32713,24.43,8.79,5.41,0.2,murders,0
Swissvaleborough,PA,10637,8564.4,2.16,23773,19.7,12.53,6.62,16.83,murders,2
ScotchPlainstownship,NJ,21160,2250.1,2.79,58194,16.17,1.49,3.75,7.6,murders,1
WhiteLaketownship,MI,22608,648.8,2.91,42549,13.94,4.36,6.2,0.18,murders,0
Gallowaytownship,NJ,23330,249.1,2.94,41944,12.87,4.35,4.1,1.66,murders,1
Sweetwatercity,TX,11967,1329.7,2.62,19157,11.19,23.02,8.51,0.58,murders,1
Hulltown,MA,10466,3397.6,2.76,37683,13.67,8.02,7.31,8.66,murders,0
Scotttownship,PA,17118,4180.8,2.29,34644,20.56,4.13,3.05,11.76,murders,1
Pittsfieldtownship,MI,17668,606.6,2.52,34639,7.36,9.33,3.78,2.48,murders,0
Duncanvillecity,TX,35748,3057.5,2.86,41028,12.66,3.78,4.57,0.89,murders,0
NewProvidenceborough,NJ,11439,3001.1,2.7,62420,18.5,2.45,2.71,7.98,murders,0
Barnstabletown,MA,40949,658.2,2.47,33411,22.03,6.78,7.22,1.18,murders,2
Rutherfordborough,NJ,17790,6118.4,2.66,46499,18.89,3.68,4.17,18.82,murders,0
Torrancecity,CA,133107,6260.9,2.53,47204,14.75,5.15,3.95,1.53,murders,12
RedwoodCitycity,CA,66072,3349.1,2.59,42962,14.76,8.3,3.82,3.85,murders,3
Lancastertownship,PA,13187,2104.5,2.47,35855,21.23,6.27,3.31,1.68,murders,0
Redlandscity,CA,60394,2398.1,2.75,37073,18.12,8.98,4.78,0.37,murders,5
Dublincity,CA,23229,2618.2,3.42,53710,11.37,4.23,3.52,2.12,murders,0
Breacity,CA,32873,3178,2.69,51253,13.79,3.55,3.31,0.75,murders,3
Princetonborough,NJ,12016,6306.9,3.68,43092,15.66,9.64,3.21,5.17,murders,0
Sturgiscity,MI,10130,1925.9,2.56,23642,17.03,11.86,5.25,0.09,murders,0
Jeffersontownship,NJ,17825,422.4,2.82,48889,14.05,2.43,2.94,2.22,murders,0
Woodlandcity,CA,39802,4187.9,2.8,31671,13.9,9.59,7.85,0.6,murders,2
NorthBrunswicktownship,NJ,31287,2508.1,2.71,49900,12.25,2.67,3.08,8.09,murders,0
Springfieldcity,OH,70487,3485.1,2.59,21407,20.99,20.87,8.74,1.06,murders,6
Corsicanacity,TX,22911,1062.7,2.67,21238,15.38,21.04,8.15,0.19,murders,0
Woostercity,OH,22191,1813.5,2.58,27148,16.65,12.69,5.93,0.91,murders,0
LosAngelescity,CA,3485398,7168.1,2.86,30925,10.5,18.86,8.34,10.92,murders,1076
Harrisontown,NJ,13425,10587.5,2.76,33969,15.48,11.55,7.53,17.27,murders,0
Swanseatown,MA,15411,644.9,2.93,40117,20.65,4.92,4.6,0.39,murders,0
Monroecity,MI,22902,2458.4,2.72,29088,17.67,15.39,7.38,0.5,murders,0
Madisontownship,OH,18749,401.2,2.9,35575,18.25,4.1,4.98,1,murders,0
Seasidecity,CA,38901,4254.3,3.66,28655,16.08,12.22,4.37,3.56,murders,6
Grapevinecity,TX,29202,901.6,2.66,48901,8.25,4.24,3.09,0.28,murders,0
WestChesterborough,PA,18041,9469.3,2.95,31262,12.91,17.07,5.7,2.39,murders,0
Eatontownborough,NJ,13800,2251.7,2.54,36864,16.48,5.14,4.16,2.34,murders,0
AnnArborcity,MI,109592,4085,2.63,33344,10.07,16.08,3.81,5.7,murders,2
Salemcity,OH,12233,2570,2.44,23684,20.07,13.85,5.19,0.1,murders,0
UnionCitycity,NJ,58012,44229.9,2.81,25655,9.8,18.18,10.87,27.8,murders,1
FosterCitycity,CA,28176,7232,2.51,60462,11.54,2.95,3.4,3.93,murders,1
Flintcity,MI,140761,4015.8,2.61,20176,19.86,30.58,18.29,2.43,murders,48
NewBrunswickcity,NJ,41711,7709.4,3.28,28289,11.84,21.96,8.85,12.35,murders,5
EastPaloAltocity,CA,23451,8883,3.37,29206,11.1,17.55,10.6,8.38,murders,4
LeagueCitycity,TX,30159,566.3,2.85,45043,8.14,4.92,3.09,1.2,murders,0
Astontownship,PA,15080,2534.6,2.93,44083,19.82,3.15,3.4,1.82,murders,0
GloucesterCitycity,NJ,12649,5549.8,2.75,28998,21.51,9.18,5.92,3.17,murders,0
Shalertownship,PA,30533,2653.4,2.63,36972,20.91,2.95,3.8,6.1,murders,0
Goshentownship,OH,12697,355.3,2.99,31617,13.23,8.41,5.71,0.78,murders,0
Chestercity,PA,41856,8345.8,2.88,20864,16.98,25.16,12.4,12.81,murders,28
Dallascity,TX,1006877,2838.4,2.5,27489,9.85,17.97,7.43,6.68,murders,317
CulverCitycity,CA,38793,7336,2.4,42971,13.44,6.68,4.13,4.33,murders,4
Readingcity,PA,78380,7732.5,2.5,22112,17.34,19.41,8.63,7.29,murders,6
Richmondcity,CA,87425,2838.8,2.67,32165,17.29,16.1,9.43,13.14,murders,52
Methuentown,MA,39990,1722.8,2.73,37701,19.94,7.2,7.65,1.8,murders,2
Nortoncity,OH,11475,552.6,2.8,34198,20.1,5.4,5.33,0.27,murders,0
Missioncity,TX,28653,1990.9,3.45,17489,15.65,37.33,12.14,0.42,murders,0
Middletownship,NJ,14771,200,2.76,30524,19.68,7.99,7.94,1.23,murders,0
MountLaureltownship,NJ,30270,1339.6,2.56,50843,13.62,1.99,2.55,3.5,murders,0
CostaMesacity,CA,96357,5980.4,2.57,40313,10.28,9.17,4.17,3.03,murders,5
LosAlamitoscity,CA,11676,2798.7,2.84,45171,15.78,4.38,4.24,0.15,murders,0
SouthOrangeVillagetownship,NJ,16390,5529.7,3.17,64338,14.6,3.03,3.64,14.68,murders,0
RedBluffcity,CA,12363,1641.4,2.57,19474,15.89,20.41,9.88,0,murders,0
