year,quarter,quarter_no,N,income_mean,income_median,income_gini,wealth_mean,wealth_median,wealth_gini
2001,Altstadt Grossbasel,1,1673,87776,51819,0.593,1014720,20201,0.952
2001,Vorstädte,2,3204,84109,49914,0.577,1119418,19045,0.957
2001,Am Ring,3,6579,62582,49426,0.467,300878,16024,0.879
2001,Breite,4,5433,52039,47227,0.358,105198,10820,0.826
2001,St. Alban,5,6179,89956,58112,0.54,778475,40315,0.901
2001,Gundeldingen,6,11224,51229,46265,0.387,92099,3437,0.871
2001,Bruderholz,7,5090,96124,64512,0.52,982401,63530,0.9
2001,Bachletten,8,8157,70348,56258,0.444,346088,32129,0.853
2001,Gotthelf,9,4256,59049,47960,0.435,324687,16650,0.916
2001,Iselin,10,9853,49631,45530,0.371,99290,9065,0.832
2001,St. Johann,11,10493,48766,43118,0.414,108752,2656,0.887
2001,Altstadt Kleinbasel,12,1659,51648,40387,0.47,222560,4292,0.924
2001,Clara,13,2416,47435,40964,0.409,78995,2232,0.859
2001,Wettstein,14,3344,61553,51858,0.419,248001,15796,0.888
2001,Hirzbrunnen,15,5337,55048,49400,0.373,147360,15514,0.828
2001,Rosental,16,2499,46221,42100,0.384,58042,34,0.891
2001,Matthäus,17,9089,48892,41500,0.436,87623,555,0.9
2001,Klybeck,18,4053,45651,42777,0.374,54040,79,0.873
2001,Kleinhüningen,19,1363,46859,44115,0.358,58208,2295,0.844
2001,Riehen,20,11663,84857,61809,0.494,539052,39198,0.875
2001,Bettingen,30,605,83803,64789,0.487,537289,49270,0.834
2002,Altstadt Grossbasel,1,1586,89525,51159,0.593,1119065,26900,0.951
2002,Vorstädte,2,3103,86350,51997,0.573,1293210,24618,0.958
2002,Am Ring,3,6352,64797,50777,0.465,304331,23367,0.862
2002,Breite,4,5325,52483,47698,0.349,109106,14391,0.816
2002,St. Alban,5,6177,85906,58395,0.513,782004,49005,0.894
2002,Gundeldingen,6,10991,52035,46658,0.38,95544,5092,0.861
2002,Bruderholz,7,5053,94905,63941,0.518,1057536,76675,0.9
2002,Bachletten,8,8061,69820,56036,0.434,341300,37080,0.838
2002,Gotthelf,9,4213,60865,48673,0.434,375798,20167,0.92
2002,Iselin,10,9617,51142,46296,0.364,105572,12065,0.821
2002,St. Johann,11,10196,49902,44334,0.4,112173,4887,0.872
2002,Altstadt Kleinbasel,12,1641,54819,42417,0.461,220470,7658,0.912
2002,Clara,13,2379,47672,41049,0.393,81107,3921,0.852
2002,Wettstein,14,3321,61282,52211,0.41,239534,20498,0.872
2002,Hirzbrunnen,15,5296,55319,49486,0.37,149692,19919,0.81
2002,Rosental,16,2454,46512,43646,0.376,61020,948,0.884
2002,Matthäus,17,8877,49144,42216,0.419,91361,1843,0.892
2002,Klybeck,18,3992,46420,42752,0.362,55939,939,0.869
2002,Kleinhüningen,19,1372,47757,43401,0.362,61289,2792,0.841
2002,Riehen,20,11595,84120,62942,0.478,532211,49091,0.859
2002,Bettingen,30,616,83875,65306,0.486,527151,56022,0.83
2003,Altstadt Grossbasel,1,1568,83892,51288,0.582,1029143,25286,0.948
2003,Vorstädte,2,3045,85812,51246,0.582,1440540,23386,0.963
2003,Am Ring,3,6344,65120,50232,0.48,318314,22092,0.868
2003,Breite,4,5266,53475,47725,0.362,116849,14017,0.833
2003,St. Alban,5,6158,85915,57891,0.52,741616,46686,0.89
2003,Gundeldingen,6,10999,51395,46526,0.379,91286,4958,0.862
2003,Bruderholz,7,5045,93636,64962,0.514,1137819,67334,0.91
2003,Bachletten,8,8027,69984,56341,0.435,349454,36025,0.842
2003,Gotthelf,9,4211,61645,48877,0.448,426950,18940,0.931
2003,Iselin,10,9635,50894,46084,0.364,102769,10606,0.827
2003,St. Johann,11,10250,49651,43665,0.415,115906,4311,0.881
2003,Altstadt Kleinbasel,12,1622,56150,41826,0.48,229262,7026,0.918
2003,Clara,13,2358,46918,40744,0.409,82602,3281,0.86
2003,Wettstein,14,3359,61515,52584,0.414,239286,18126,0.875
2003,Hirzbrunnen,15,5248,55739,49500,0.376,148635,18805,0.817
2003,Rosental,16,2506,45751,41989,0.386,57722,924,0.884
2003,Matthäus,17,8996,48831,41543,0.436,90921,1620,0.897
2003,Klybeck,18,3990,45745,42746,0.363,53653,978,0.873
2003,Kleinhüningen,19,1435,46189,41457,0.373,60320,2134,0.854
2003,Riehen,20,11649,82841,62772,0.475,519560,45939,0.86
2003,Bettingen,30,614,83654,64069,0.487,486236,55721,0.813
2004,Altstadt Grossbasel,1,1520,74973,50843,0.549,515646,22962,0.91
2004,Vorstädte,2,2951,88090,50550,0.598,1586363,22197,0.969
2004,Am Ring,3,6341,61823,49500,0.47,298493,18500,0.87
2004,Breite,4,5291,52657,47228,0.368,113590,12058,0.838
2004,St. Alban,5,6076,88144,58298,0.53,765489,45471,0.896
2004,Gundeldingen,6,11025,50619,46182,0.386,85258,3749,0.866
2004,Bruderholz,7,5005,92153,63818,0.519,1122169,58930,0.918
2004,Bachletten,8,7945,70056,56317,0.44,339879,33807,0.848
2004,Gotthelf,9,4143,61773,48153,0.456,477239,18100,0.939
2004,Iselin,10,9656,50381,45699,0.368,96706,8303,0.83
2004,St. Johann,11,10145,48709,42745,0.426,102486,3321,0.876
2004,Altstadt Kleinbasel,12,1569,56018,41940,0.486,213067,6168,0.921
2004,Clara,13,2350,46159,40196,0.413,79370,2762,0.86
2004,Wettstein,14,3323,60416,52206,0.413,196145,15666,0.859
2004,Hirzbrunnen,15,5217,55476,49345,0.384,146748,16929,0.823
2004,Rosental,16,2538,44768,41534,0.393,48182,197,0.883
2004,Matthäus,17,8978,48214,41125,0.438,87854,1000,0.899
2004,Klybeck,18,3945,45101,42301,0.369,49607,367,0.88
2004,Kleinhüningen,19,1442,46020,41597,0.374,54747,1078,0.86
2004,Riehen,20,11547,82414,62460,0.476,507726,43091,0.862
2004,Bettingen,30,610,84284,66773,0.493,546557,48701,0.826
2005,Altstadt Grossbasel,1,1573,80261,51677,0.584,657556,25750,0.913
2005,Vorstädte,2,2963,91269,51163,0.609,2053734,25029,0.973
2005,Am Ring,3,6379,64923,49347,0.496,342044,22123,0.868
2005,Breite,4,5228,52630,47499,0.367,122623,12683,0.84
2005,St. Alban,5,6066,87537,58126,0.523,850281,45237,0.898
2005,Gundeldingen,6,10959,50613,45508,0.399,97584,4363,0.871
2005,Bruderholz,7,4962,95915,63802,0.539,1514325,63946,0.933
2005,Bachletten,8,7970,71293,56566,0.452,385637,35992,0.854
2005,Gotthelf,9,4187,61449,48593,0.453,660155,19429,0.952
2005,Iselin,10,9485,50101,45705,0.374,104439,8321,0.834
2005,St. Johann,11,9989,48257,42228,0.435,125713,3439,0.889
2005,Altstadt Kleinbasel,12,1556,55577,40744,0.505,252148,6719,0.924
2005,Clara,13,2328,45593,40013,0.421,88637,3756,0.863
2005,Wettstein,14,3373,62158,51665,0.435,260332,15000,0.886
2005,Hirzbrunnen,15,5155,55735,48833,0.386,166275,17013,0.831
2005,Rosental,16,2517,44101,39838,0.406,54923,104,0.894
2005,Matthäus,17,8948,46961,39450,0.45,92556,903,0.896
2005,Klybeck,18,3924,44672,41871,0.379,52486,403,0.88
2005,Kleinhüningen,19,1452,45554,41857,0.377,60874,1283,0.863
2005,Riehen,20,11554,84661,62734,0.49,726599,47820,0.893
2005,Bettingen,30,611,86541,65820,0.507,610226,65433,0.828
2006,Altstadt Grossbasel,1,1539,85263,49652,0.616,1043716,27032,0.943
2006,Vorstädte,2,2928,94092,51549,0.617,1723016,22952,0.968
2006,Am Ring,3,6224,64169,49271,0.491,377270,21677,0.881
2006,Breite,4,5279,53320,47250,0.376,124926,11703,0.846
2006,St. Alban,5,6055,89790,58963,0.531,862648,45373,0.9
2006,Gundeldingen,6,10965,50720,45698,0.401,97926,4400,0.871
2006,Bruderholz,7,4909,100960,62653,0.565,1926780,58855,0.95
2006,Bachletten,8,7884,71125,56663,0.449,376478,33185,0.859
2006,Gotthelf,9,4146,63852,48999,0.461,719158,19245,0.957
2006,Iselin,10,9380,50185,45797,0.373,100717,7577,0.836
2006,St. Johann,11,10030,48663,42320,0.436,122793,3249,0.892
2006,Altstadt Kleinbasel,12,1532,54212,40455,0.49,271328,6494,0.926
2006,Clara,13,2296,46032,39953,0.422,88418,3463,0.866
2006,Wettstein,14,3340,63274,52238,0.433,278038,15385,0.893
2006,Hirzbrunnen,15,5079,56413,49743,0.38,163464,16294,0.836
2006,Rosental,16,2530,44515,39951,0.411,52396,133,0.892
2006,Matthäus,17,8898,46716,39377,0.453,92244,825,0.899
2006,Klybeck,18,3978,44314,41565,0.388,52083,426,0.88
2006,Kleinhüningen,19,1471,45715,41584,0.383,56156,1307,0.867
2006,Riehen,20,11563,85500,62570,0.497,613220,45064,0.876
2006,Bettingen,30,612,88286,64899,0.505,627310,71977,0.837
2007,Altstadt Grossbasel,1,1571,90597,52669,0.616,1032455,26730,0.943
2007,Vorstädte,2,2930,86319,51383,0.58,932311,23802,0.944
2007,Am Ring,3,6153,66969,50847,0.495,366048,21262,0.879
2007,Breite,4,5228,53622,47417,0.379,118860,10261,0.847
2007,St. Alban,5,6090,95189,60311,0.542,862577,45334,0.903
2007,Gundeldingen,6,10968,53271,46945,0.406,100436,4579,0.873
2007,Bruderholz,7,4861,113168,64248,0.604,2113170,56199,0.955
2007,Bachletten,8,7867,74398,58256,0.458,369065,31950,0.86
2007,Gotthelf,9,4120,65936,50482,0.466,760702,19259,0.96
2007,Iselin,10,9359,51367,46475,0.375,102338,7059,0.844
2007,St. Johann,11,9973,49938,43624,0.43,124901,3542,0.894
2007,Altstadt Kleinbasel,12,1499,53264,40165,0.48,231373,5195,0.924
2007,Clara,13,2384,48506,41532,0.43,91592,3791,0.866
