communityname,state,population,householdsize,pctUrban,medIncome,pctWSocSec,pctWRetire,whitePerCap,blackPerCap,AsianPerCap,HispPerCap,PctPopUnderPov,PctNotHSGrad,PctUnemployed,TotalPctDiv,PersPerFam,PctWorkMom,NumImmig,PctImmigRecent,PctNotSpeakEnglWell,RentMedian,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,LandArea,PopDens,PctUsePubTrans,murders,robberies,assaults,burglaries,larcenies,autoTheft,arsons
BerkeleyHeightstownship,NJ,11980,3.1,100,75122,23.62,18.39,30233,13600,27101,22838,1.96,9.9,2.7,4.47,3.22,58.88,1277,8.69,1.37,1001,11,0,10.66,53.72,6.5,1845.9,9.63,0,1,4,14,138,16,2
Marpletownship,PA,23123,2.82,100,47917,35.5,22.85,20191,18137,20074,12222,3.98,13.72,2.43,5.42,3.11,62.43,1920,5.21,1.81,560,0,0,8.3,77.17,10.6,2186.7,3.84,0,5,24,57,376,26,1
Norwoodtown,MA,28700,2.6,100,42805,30.23,17.23,18276,17342,12639,22594,4.01,13.89,4.85,7.64,3.14,72.81,2637,11.38,0.6,669,0,0,9.19,77.3,10.9,2643.5,9.62,0,9,54,110,288,144,17
Wacocity,TX,103590,2.62,100,17852,29.09,13.99,12126,5715,5770,6984,28.68,31.62,8.39,12.97,3.11,69.23,4793,15.54,2.51,281,43,4,4.63,75.59,78.5,1319.3,0.76,29,453,1043,2397,6121,1070,18
Shermancity,TX,31601,2.54,100,24763,32.68,15.2,14051,7496,9107,4542,15.61,24.86,7.19,13.53,2.99,72.96,938,17.91,0.81,305,1,0,2.97,65.73,38.7,816.1,0,1,71,131,468,1817,151,6
SanPablocity,CA,25158,2.89,100,25479,22.99,13.18,11407,10412,9546,7813,19.02,34.18,10.16,16.57,3.47,61.68,6645,21.87,10.8,503,20,49,26.41,47.45,2.7,9387.3,11.22,12,309,362,478,1460,430,20
Glendalecity,CA,180038,2.62,100,34372,20.3,11.51,19362,17693,16696,11182,14.37,22.83,6.95,11.12,3.22,59.33,81352,30.33,15.46,626,82,17,45.19,29.68,31.7,5677.3,4.15,9,355,277,1596,4501,1447,73
Worthingtoncity,OH,14869,2.67,100,49851,23.77,19.47,22959,12964,22630,7828,2.35,5.95,2.57,8.64,3.01,72.84,704,11.79,0.53,394,10,0,4.73,58.81,5.8,2552.7,1.96,0,10,5,99,414,18,4
Arlingtoncity,TX,261721,2.6,100,35048,11.05,9.12,17420,11615,11175,9045,8.21,12.19,4.99,12.77,3.14,71.53,20006,19.03,2.2,382,47,1,7.64,51.54,96.4,2716.3,0.14,7,710,1396,3977,11514,2452,97
Marinacity,CA,26436,3.34,100,29043,10.74,15.99,12871,10242,9734,8444,9.67,15.83,3.5,9.33,3.32,64.58,4849,12.27,4.31,607,0,0,18.34,24.24,9.1,2917.9,1.93,2,42,47,226,547,50,5
